
```
| 245 | اشراقة كانون | 34 | حزب | بغداد | ذكر | حسن ربيع كاطع جاسم النوري | 3500 |
| 245 | اشراقة كانون | 35 | حزب | بغداد | ذكر | ادهم عبدالله ابراهيم موسى الاركوازي | 3501 |
| 245 | اشراقة كانون | 36 | حزب | بغداد | ذكر | عدنان عوده العبي حسب الشويلي | 3502 |
| 245 | اشراقة كانون | 37 | حزب | بغداد | ذكر | ذو الفقار حسن جلوب كاظم الساعدي | 3503 |
| 245 | اشراقة كانون | 38 | حزب | بغداد | ذكر | ساجد نايف عبدالرضا محمد علي الربيعي | 3504 |
| 245 | اشراقة كانون | 39 | حزب | بغداد | انثى | بشرى جواد محمد عبد الحسين الاسدي | 3505 |
| 245 | اشراقة كانون | 40 | حزب | بغداد | ذكر | ربيع عامر صالح دبي الطربوش | 3506 |
| 245 | اشراقة كانون | 41 | حزب | بغداد | انثى | اسماء علي محسن شبيب البيضاني | 3507 |
| 245 | اشراقة كانون | 42 | حزب | بغداد | انثى | تسليم صالح مهدي جاعد الشمر | 3508 |
| 245 | اشراقة كانون | 43 | حزب | بغداد | انثى | هاجر نصير علي حسين المختار | 3509 |
| 245 | اشراقة كانون | 44 | حزب | بغداد | انثى | الاء عزيز عبدالرضا محمد الطائي | 3510 |
| 245 | اشراقة كانون | 45 | حزب | بغداد | ذكر | سعد ياس عباس علي الطائي | 3511 |
| 245 | اشراقة كانون | 46 | حزب | بغداد | انثى | صفا رعد مبدر جاسم الحويصل | 3512 |
| 246 | حزب الانتشار الوطني | 1 | حزب | بغداد | ذكر | محمد سامي عبدالغني محمد الزاملي | 3513 |
| 246 | حزب الانتشار الوطني | 2 | حزب | بغداد | انثى | اية نشوان غانم يعقوب عسكر | 3514 |
| 246 | حزب الانتشار الوطني | 3 | حزب | بغداد | انثى | دعاء حسام حمزة حسن السلطاني | 3515 |
| 246 | حزب الانتشار الوطني | 4 | حزب | بغداد | ذكر | مخلد فوزي عبدالكريم رشيد البركان | 3516 |
| 246 | حزب الانتشار الوطني | 5 | حزب | بغداد | ذكر | امير ابراهيم افي مراد الربيعي | 3517 |
| 246 | حزب الانتشار الوطني | 6 | حزب | بغداد | ذكر | بهاء جواد حسن الزبيدي | 3518 |
| 246 | حزب الانتشار الوطني | 7 | حزب | بغداد | ذكر | عماد عبدالعزيز عبدالرزاق صقر الحسني | 3519 |
| 246 | حزب الانتشار الوطني | 8 | حزب | بغداد | ذكر | كرار امير صدام عبدالحسن العبودي | 3520 |
| 246 | حزب الانتشار الوطني | 9 | حزب | بغداد | ذكر | محمد راضي جاسم خليل العيساوي | 3521 |
